time,GPS MSL
215.281,825.76202
216.281,826.76202
217.281,827.76202
218.281,828.76202
219.281,829.76202
220.281,830.76202
221.281,831.76202
222.281,832.76202
223.281,833.76202
224.281,834.76202
225.281,835.76202
226.281,836.76202
227.281,837.76202
228.281,838.76202
229.281,839.76202
230.281,840.76202
231.281,841.76202
232.281,842.76202
233.281,843.76202
234.281,844.76202
235.281,845.76202
236.281,846.76202
237.281,847.76202
238.281,848.76202
239.281,849.76202
240.281,850.76202
241.281,851.76202
242.281,852.76202
243.281,853.76202
244.281,854.76202
245.281,855.76202
246.281,856.76202
247.281,857.76202
248.281,858.76202
249.281,859.76202
250.281,860.76202
251.281,861.76202
252.281,862.76202
253.281,863.76202
254.281,864.76202
255.281,865.76202
256.281,866.76202
257.281,867.76202
258.281,868.76202
259.281,869.76202
260.281,870.76202
261.281,871.76202
262.281,872.76202
263.281,873.76202
264.281,874.76202
265.281,875.76202
266.281,876.76202
267.281,877.76202
268.281,878.76202
269.281,879.76202
270.281,880.76202
271.281,881.76202
272.281,882.76202
273.281,883.76202
274.281,884.76202
275.281,885.76202
276.281,886.76202
277.281,887.76202
278.281,888.76202
279.281,889.76202
280.281,890.76202
281.281,891.76202
282.281,892.76202
283.281,893.76202
284.281,894.76202
285.281,895.76202
286.281,896.76202
287.281,897.76202
288.281,898.76202
289.281,899.76202
290.281,900.76202
291.281,901.76202
292.281,902.76202
293.281,903.76202
294.281,904.76202
295.281,905.76202
296.281,906.76202
297.281,907.76202
298.281,908.76202
299.281,909.76202
300.281,910.76202
301.281,911.76202
302.281,912.76202
303.281,913.76202
304.281,914.76202
305.281,915.76202
306.281,916.76202
307.281,917.76202
308.281,918.76202
309.281,919.76202
310.281,920.76202
311.281,921.76202
312.281,922.76202
313.281,923.76202
314.281,924.76202
315.281,925.76202
316.281,926.76202
317.281,927.76202
318.281,928.76202
319.281,929.76202
320.281,930.76202
321.281,931.76202
322.281,932.76202
323.281,933.76202
324.281,934.76202
325.281,935.76202
326.281,936.76202
327.281,937.76202
328.281,938.76202
329.281,939.76202
330.281,940.76202
331.281,941.76202
332.281,942.76202
333.281,943.76202
334.281,944.76202
335.281,945.76202
336.281,946.76202
337.281,947.76202
338.281,948.76202
339.281,949.76202
340.281,950.76202
341.281,951.76202
342.281,952.76202
343.281,953.76202
344.281,954.76202
345.281,955.76202
346.281,956.76202
347.281,957.76202
348.281,958.76202
349.281,959.76202
350.281,960.76202
351.281,961.76202
352.281,962.76202
353.281,963.76202
354.281,964.76202
355.281,965.76202
356.281,966.76202
357.281,967.76202
358.281,968.76202
359.281,969.76202
360.281,970.76202
361.281,971.76202
362.281,972.76202
363.281,973.76202
364.281,974.76202
365.281,975.76202
366.281,976.76202
367.281,977.76202
368.281,978.76202
369.281,979.76202
370.281,980.76202
371.281,981.76202
372.281,982.76202
373.281,983.76202
374.281,984.76202
375.281,985.76202
376.281,986.76202
377.281,987.76202
378.281,988.76202
379.281,989.76202
380.281,990.76202
381.281,991.76202
382.281,992.76202
383.281,993.76202
384.281,994.76202
385.281,995.76202
386.281,996.76202
387.281,997.76202
388.281,998.76202
389.281,999.76202
390.281,1000.76202
391.281,1001.76202
392.281,1002.76202
393.281,1003.76202
394.281,1004.76202
395.281,1005.76202
396.281,1006.76202
397.281,1007.76202
398.281,1008.76202
399.281,1009.76202
400.281,1010.76202
401.281,1011.76202
402.281,1012.76202
403.281,1013.76202
404.281,1014.76202
405.281,1015.76202
406.281,1016.76202
407.281,1017.76202
408.281,1018.76202
409.281,1019.76202
410.281,1020.76202
411.281,1021.76202
412.281,1022.76202
413.281,1023.76202
414.281,1024.76202
415.281,1025.76202
416.281,1026.76202
417.281,1027.76202
418.281,1028.76202
419.281,1029.76202
420.281,1030.76202
421.281,1031.76202
422.281,1032.76202
423.281,1033.76202
424.281,1034.76202
425.281,1035.76202
426.281,1036.76202
427.281,1037.76202
428.281,1038.76202
429.281,1039.76202
430.281,1040.76202
431.281,1041.76202
432.281,1042.76202
433.281,1043.76202
434.281,1044.76202
435.281,1045.76202
436.281,1046.76202
437.281,1047.76202
438.281,1048.76202
439.281,1049.76202
440.281,1050.76202
441.281,1051.76202
442.281,1052.76202
443.281,1053.76202
444.281,1054.76202
445.281,1055.76202
446.281,1056.76202
447.281,1057.76202
448.281,1058.76202
449.281,1059.76202
450.281,1060.76202
451.281,1061.76202
452.281,1062.76202
453.281,1063.76202
454.281,1064.76202
455.281,1065.76202
456.281,1066.76202
457.281,1067.76202
458.281,1068.76202
459.281,1069.76202
460.281,1070.76202
461.281,1071.76202
462.281,1072.76202
463.281,1073.76202
464.281,1074.76202
465.281,1075.76202
466.281,1076.76202
467.281,1077.76202
468.281,1078.76202
469.281,1079.76202
470.281,1080.76202
471.281,1081.76202
472.281,1082.76202
473.281,1083.76202
474.281,1084.76202
475.281,1085.76202
476.281,1086.76202
477.281,1087.76202
478.281,1088.76202
479.281,1089.76202
480.281,1090.76202
481.281,1091.76202
482.281,1092.76202
483.281,1093.76202
484.281,1094.76202
485.281,1095.76202
486.281,1096.76202
487.281,1097.76202
488.281,1098.76202
489.281,1099.76202
490.281,1100.76202
491.281,1101.76202
492.281,1102.76202
493.281,1103.76202
494.281,1104.76202
495.281,1105.76202
496.281,1106.76202
497.281,1107.76202
498.281,1108.76202
499.281,1109.76202
500.281,1110.76202
501.281,1111.76202
502.281,1112.76202
503.281,1113.76202
504.281,1114.76202
505.281,1115.76202
506.281,1116.76202
507.281,1117.76202
508.281,1118.76202
509.281,1119.76202
510.281,1120.76202
511.281,1121.76202
512.281,1122.76202
513.281,1123.76202
514.281,1124.76202
515.281,1125.76202
516.281,1126.76202
517.281,1127.76202
518.281,1128.76202
519.281,1129.76202
520.281,1130.76202
521.281,1131.76202
522.281,1132.76202
523.281,1133.76202
524.281,1134.76202
525.281,1135.76202
526.281,1136.76202
527.281,1137.76202
528.281,1138.76202
529.281,1139.76202
530.281,1140.76202
531.281,1141.76202
532.281,1142.76202
533.281,1143.76202
534.281,1144.76202
535.281,1145.76202
536.281,1146.76202
537.281,1147.76202
538.281,1148.76202
539.281,1149.76202
540.281,1150.76202
541.281,1151.76202
542.281,1152.76202
543.281,1153.76202
544.281,1154.76202
545.281,1155.76202
546.281,1156.76202
547.281,1157.76202
548.281,1158.76202
549.281,1159.76202
550.281,1160.76202
551.281,1161.76202
552.281,1162.76202
553.281,1163.76202
554.281,1164.76202
555.281,1165.76202
556.281,1166.76202
557.281,1167.76202
558.281,1168.76202
559.281,1169.76202
560.281,1170.76202
561.281,1171.76202
562.281,1172.76202
563.281,1173.76202
564.281,1174.76202
565.281,1175.76202
566.281,1176.76202
567.281,1177.76202
568.281,1178.76202
569.281,1179.76202
570.281,1180.76202
571.281,1181.76202
572.281,1182.76202
573.281,1183.76202
574.281,1184.76202
575.281,1185.76202
576.281,1186.76202
577.281,1187.76202
578.281,1188.76202
579.281,1189.76202
580.281,1190.76202
581.281,1191.76202
582.281,1192.76202
583.281,1193.76202
584.281,1194.76202
585.281,1195.76202
586.281,1196.76202
587.281,1197.76202
588.281,1198.76202
589.281,1199.76202
590.281,1200.76202
591.281,1201.76202
592.281,1202.76202
593.281,1203.76202
594.281,1204.76202
595.281,1205.76202
596.281,1206.76202
597.281,1207.76202
598.281,1208.76202
599.281,1209.76202
600.281,1210.76202
601.281,1211.76202
602.281,1212.76202
603.281,1213.76202
604.281,1214.76202
605.281,1215.76202
606.281,1216.76202
607.281,1217.76202
608.281,1218.76202
609.281,1219.76202
610.281,1220.76202
611.281,1221.76202
612.281,1222.76202
613.281,1223.76202
614.281,1224.76202
615.281,1225.76202
616.281,1226.76202
617.281,1227.76202
618.281,1228.76202
619.281,1229.76202
620.281,1230.76202
621.281,1231.76202
622.281,1232.76202
623.281,1233.76202
624.281,1234.76202
625.281,1235.76202
626.281,1236.76202
627.281,1237.76202
628.281,1238.76202
629.281,1239.76202
630.281,1240.76202
631.281,1241.76202
632.281,1242.76202
633.281,1243.76202
634.281,1244.76202
635.281,1245.76202
636.281,1246.76202
637.281,1247.76202
638.281,1248.76202
639.281,1249.76202
640.281,1250.76202
641.281,1251.76202
642.281,1252.76202
643.281,1253.76202
644.281,1254.76202
645.281,1255.76202
646.281,1256.76202
647.281,1257.76202
648.281,1258.76202
649.281,1259.76202
650.281,1260.76202
651.281,1261.76202
652.281,1262.76202
653.281,1263.76202
654.281,1264.76202
655.281,1265.76202
656.281,1266.76202
657.281,1267.76202
658.281,1268.76202
659.281,1269.76202
660.281,1270.76202
661.281,1271.76202
662.281,1272.76202
663.281,1273.76202
664.281,1274.76202
665.281,1275.76202
666.281,1276.76202
667.281,1277.76202
668.281,1278.76202
669.281,1279.76202
670.281,1280.76202
671.281,1281.76202
672.281,1282.76202
673.281,1283.76202
674.281,1284.76202
675.281,1285.76202
676.281,1286.76202
677.281,1287.76202
678.281,1288.76202
679.281,1289.76202
680.281,1290.76202
681.281,1291.76202
682.281,1292.76202
683.281,1293.76202
684.281,1294.76202
685.281,1295.76202
686.281,1296.76202
687.281,1297.76202
688.281,1298.76202
689.281,1299.76202
690.281,1300.76202
691.281,1301.76202
692.281,1302.76202
693.281,1303.76202
694.281,1304.76202
695.281,1305.76202
696.281,1306.76202
697.281,1307.76202
698.281,1308.76202
699.281,1309.76202
700.281,1310.76202
701.281,1311.76202
702.281,1312.76202
703.281,1313.76202
704.281,1314.76202
705.281,1315.76202
706.281,1316.76202
707.281,1317.76202
708.281,1318.76202
709.281,1319.76202
710.281,1320.76202
711.281,1321.76202
712.281,1322.76202
713.281,1323.76202
714.281,1324.76202
715.281,1325.76202
716.281,1326.76202
717.281,1327.76202
718.281,1328.76202
719.281,1329.76202
720.281,1330.76202
721.281,1331.76202
722.281,1332.76202
723.281,1333.76202
724.281,1334.76202
725.281,1335.76202
726.281,1336.76202
727.281,1337.76202
728.281,1338.76202
729.281,1339.76202
730.281,1340.76202
731.281,1341.76202
732.281,1342.76202
733.281,1343.76202
734.281,1344.76202
735.281,1345.76202
736.281,1346.76202
737.281,1347.76202
738.281,1348.76202
739.281,1349.76202
740.281,1350.76202
741.281,1351.76202
742.281,1352.76202
743.281,1353.76202
744.281,1354.76202
745.281,1355.76202
746.281,1356.76202
747.281,1357.76202
748.281,1358.76202
749.281,1359.76202
750.281,1360.76202
751.281,1361.76202
752.281,1362.76202
753.281,1363.76202
754.281,1364.76202
755.281,1365.76202
756.281,1366.76202
757.281,1367.76202
758.281,1368.76202
759.281,1369.76202
760.281,1370.76202
761.281,1371.76202
762.281,1372.76202
763.281,1373.76202
764.281,1374.76202
765.281,1375.76202
766.281,1376.76202
767.281,1377.76202
768.281,1378.76202
769.281,1379.76202
770.281,1380.76202
771.281,1381.76202
772.281,1382.76202
773.281,1383.76202
774.281,1384.76202
775.281,1385.76202
776.281,1386.76202
777.281,1387.76202
778.281,1388.76202
779.281,1389.76202
780.281,1390.76202
781.281,1391.76202
782.281,1392.76202
783.281,1393.76202
784.281,1394.76202
785.281,1395.76202
786.281,1396.76202
787.281,1397.76202
788.281,1398.76202
789.281,1399.76202
790.281,1400.76202
791.281,1401.76202
792.281,1402.76202
793.281,1403.76202
794.281,1404.76202
795.281,1405.76202
796.281,1406.76202
797.281,1407.76202
798.281,1408.76202
799.281,1409.76202
800.281,1410.76202
801.281,1411.76202
802.281,1412.76202
803.281,1413.76202
804.281,1414.76202
805.281,1415.76202
806.281,1416.76202
807.281,1417.76202
808.281,1418.76202
809.281,1419.76202
810.281,1420.76202
811.281,1421.76202
812.281,1422.76202
813.281,1423.76202
814.281,1424.76202
815.281,1425.76202
816.281,1426.76202
817.281,1427.76202
818.281,1428.76202
819.281,1429.76202
820.281,1430.76202
821.281,1431.76202
822.281,1432.76202
823.281,1433.76202
824.281,1434.76202
825.281,1435.76202
826.281,1436.76202
827.281,1437.76202
828.281,1438.76202
829.281,1439.76202
830.281,1440.76202
831.281,1441.76202
832.281,1442.76202
833.281,1443.76202
834.281,1444.76202
835.281,1445.76202
836.281,1446.76202
837.281,1447.76202
838.281,1448.76202
839.281,1449.76202
840.281,1450.76202
841.281,1451.76202
842.281,1452.76202
843.281,1453.76202
844.281,1454.76202
845.281,1455.76202
846.281,1456.76202
847.281,1457.76202
848.281,1458.76202
849.281,1459.76202
850.281,1460.76202
851.281,1461.76202
852.281,1462.76202
853.281,1463.76202
854.281,1464.76202
855.281,1465.76202
856.281,1466.76202
857.281,1467.76202
858.281,1468.76202
859.281,1469.76202
860.281,1470.76202
861.281,1471.76202
862.281,1472.76202
863.281,1473.76202
864.281,1474.76202
865.281,1475.76202
866.281,1476.76202
867.281,1477.76202
868.281,1478.76202
869.281,1479.76202
870.281,1480.76202
871.281,1481.76202
872.281,1482.76202
873.281,1483.76202
874.281,1484.76202
875.281,1485.76202
876.281,1486.76202
877.281,1487.76202
878.281,1488.76202
879.281,1489.76202
880.281,1490.76202
881.281,1491.76202
882.281,1492.76202
883.281,1493.76202
884.281,1494.76202
885.281,1495.76202
886.281,1496.76202
887.281,1497.76202
888.281,1498.76202
889.281,1499.76202
890.281,1500.76202
891.281,1501.76202
892.281,1502.76202
893.281,1503.76202
894.281,1504.76202
895.281,1505.76202
896.281,1506.76202
897.281,1507.76202
898.281,1508.76202
899.281,1509.76202
900.281,1510.76202
901.281,1511.76202
902.281,1512.76202
903.281,1513.76202
904.281,1514.76202
905.281,1515.76202
906.281,1516.76202
907.281,1517.76202
908.281,1518.76202
909.281,1519.76202
910.281,1520.76202
911.281,1521.76202
912.281,1522.76202
913.281,1523.76202
914.281,1524.76202
915.281,1525.76202
916.281,1526.76202
917.281,1527.76202
918.281,1528.76202
919.281,1529.76202
920.281,1530.76202
921.281,1531.76202
922.281,1532.76202
923.281,1533.76202
924.281,1534.76202
925.281,1535.76202
926.281,1536.76202
927.281,1537.76202
928.281,1538.76202
929.281,1539.76202
930.281,1540.76202
931.281,1541.76202
932.281,1542.76202
933.281,1543.76202
934.281,1544.76202
935.281,1545.76202
936.281,1546.76202
937.281,1547.76202
938.281,1548.76202
939.281,1549.76202
940.281,1550.76202
941.281,1551.76202
942.281,1552.76202
943.281,1553.76202
944.281,1554.76202
945.281,1555.76202
946.281,1556.76202
947.281,1557.76202
948.281,1558.76202
949.281,1559.76202
950.281,1560.76202
951.281,1561.76202
952.281,1562.76202
953.281,1563.76202
954.281,1564.76202
955.281,1565.76202
956.281,1566.76202
957.281,1567.76202
958.281,1568.76202
959.281,1569.76202
960.281,1570.76202
961.281,1571.76202
962.281,1572.76202
963.281,1573.76202
964.281,1574.76202
965.281,1575.76202
966.281,1576.76202
967.281,1577.76202
968.281,1578.76202
969.281,1579.76202
970.281,1580.76202
971.281,1581.76202
972.281,1582.76202
973.281,1583.76202
974.281,1584.76202
975.281,1585.76202
976.281,1586.76202
977.281,1587.76202
978.281,1588.76202
979.281,1589.76202
980.281,1590.76202
981.281,1591.76202
982.281,1592.76202
983.281,1593.76202
984.281,1594.76202
985.281,1595.76202
986.281,1596.76202
987.281,1597.76202
988.281,1598.76202
989.281,1599.76202
990.281,1600.76202
991.281,1601.76202
992.281,1602.76202
993.281,1603.76202
994.281,1604.76202
995.281,1605.76202
996.281,1606.76202
997.281,1607.76202
998.281,1608.76202
999.281,1609.76202
1000.281,1610.76202
1001.281,1611.76202
1002.281,1612.76202
1003.281,1613.76202
1004.281,1614.76202
1005.281,1615.76202
